2025-06-08 16:08:40.339 [info] [principal] Nível de log: Info
2025-06-08 16:08:40.340 [info] [principal] Validando o git encontrado em: "git"
2025-06-08 16:08:40.340 [info] [principal] Usando git "2.43.0" de "git"
2025-06-08 16:08:40.340 [info] [Model][doInitialScan] Initial repository scan started
2025-06-08 16:08:40.354 [info] > git rev-parse --show-toplevel [17ms]
2025-06-08 16:08:40.381 [info] > git rev-parse --show-toplevel [17ms]
2025-06-08 16:08:40.390 [info] [Model][doInitialScan] Initial repository scan completed - repositories (0), closed repositories (0), parent repositories (1), unsafe repositories (0)
2025-06-08 16:10:45.072 [info] > git rev-parse --show-toplevel [12ms]
2025-06-08 16:25:02.602 [info] > git rev-parse --show-toplevel [7ms]
2025-06-08 16:25:02.618 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:03.739 [info] > git rev-parse --show-toplevel [35ms]
2025-06-08 16:25:03.775 [info] > git rev-parse --show-toplevel [15ms]
2025-06-08 16:25:03.794 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:03.811 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:03.827 [info] > git rev-parse --show-toplevel [6ms]
2025-06-08 16:25:03.847 [info] > git rev-parse --show-toplevel [5ms]
2025-06-08 16:25:03.863 [info] > git rev-parse --show-toplevel [2ms]
2025-06-08 16:25:03.874 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:03.885 [info] > git rev-parse --show-toplevel [4ms]
2025-06-08 16:25:03.903 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:03.911 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:03.921 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:03.931 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:03.942 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:03.953 [info] > git rev-parse --show-toplevel [4ms]
2025-06-08 16:25:03.964 [info] > git rev-parse --show-toplevel [5ms]
2025-06-08 16:25:03.973 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:03.984 [info] > git rev-parse --show-toplevel [5ms]
2025-06-08 16:25:03.994 [info] > git rev-parse --show-toplevel [2ms]
2025-06-08 16:25:06.527 [info] > git rev-parse --show-toplevel [14ms]
2025-06-08 16:25:06.567 [info] > git rev-parse --show-toplevel [4ms]
2025-06-08 16:25:06.578 [info] > git rev-parse --show-toplevel [2ms]
2025-06-08 16:25:06.595 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:06.615 [info] > git rev-parse --show-toplevel [10ms]
2025-06-08 16:25:06.635 [info] > git rev-parse --show-toplevel [4ms]
2025-06-08 16:25:06.647 [info] > git rev-parse --show-toplevel [5ms]
2025-06-08 16:25:06.668 [info] > git rev-parse --show-toplevel [9ms]
2025-06-08 16:25:06.698 [info] > git rev-parse --show-toplevel [15ms]
2025-06-08 16:25:06.712 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:06.724 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:06.738 [info] > git rev-parse --show-toplevel [5ms]
2025-06-08 16:25:06.755 [info] > git rev-parse --show-toplevel [2ms]
2025-06-08 16:25:06.764 [info] > git rev-parse --show-toplevel [2ms]
2025-06-08 16:25:06.774 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:06.791 [info] > git rev-parse --show-toplevel [6ms]
2025-06-08 16:25:06.804 [info] > git rev-parse --show-toplevel [5ms]
2025-06-08 16:25:06.823 [info] > git rev-parse --show-toplevel [6ms]
2025-06-08 16:25:06.834 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:06.845 [info] > git rev-parse --show-toplevel [5ms]
2025-06-08 16:25:06.857 [info] > git rev-parse --show-toplevel [5ms]
2025-06-08 16:25:06.872 [info] > git rev-parse --show-toplevel [4ms]
2025-06-08 16:25:06.885 [info] > git rev-parse --show-toplevel [5ms]
2025-06-08 16:25:06.901 [info] > git rev-parse --show-toplevel [4ms]
2025-06-08 16:25:06.923 [info] > git rev-parse --show-toplevel [6ms]
2025-06-08 16:25:06.934 [info] > git rev-parse --show-toplevel [4ms]
2025-06-08 16:25:06.948 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:06.960 [info] > git rev-parse --show-toplevel [1ms]
2025-06-08 16:25:06.988 [info] > git rev-parse --show-toplevel [6ms]
2025-06-08 16:25:07.033 [info] > git rev-parse --show-toplevel [13ms]
2025-06-08 16:25:07.046 [info] > git rev-parse --show-toplevel [3ms]
2025-06-08 16:25:07.056 [info] > git rev-parse --show-toplevel [3ms]
